,alias,country_blacklist,country_whitelist,parents,title
0,3dprinting,,,['localservices'],3D Printing
1,abruzzese,,['IT'],['italian'],Abruzzese
2,absinthebars,,['CZ'],['bars'],Absinthe Bars
3,acaibowls,"['MX', 'IT', 'PL', 'CL', 'TR', 'AR']",,['food'],Acai Bowls
4,accessories,,,['fashion'],Accessories
5,accountants,,,['professional'],Accountants
6,acnetreatment,,,['beautysvc'],Acne Treatment
7,active,,,[],Active Life
8,acupuncture,,,['health'],Acupuncture
9,addictionmedicine,['JP'],,['physicians'],Addiction Medicine
10,adoptionservices,,,['localservices'],Adoption Services
11,adult,,,['shopping'],Adult
12,adultedu,,,['education'],Adult Education
13,adultentertainment,,,['nightlife'],Adult Entertainment
14,advertising,,,['professional'],Advertising
15,aerialfitness,,,['fitness'],Aerial Fitness
16,aerialtours,,,['tours'],Aerial Tours
17,aestheticians,"['MX', 'FR', 'CL', 'CH', 'BE', 'AR']",,['medicalspa'],Aestheticians
18,afghani,"['TR', 'MX']",,['restaurants'],Afghan
19,african,['TR'],,['restaurants'],African
20,afrobrazilian,,['BR'],['religiousorgs'],Afro-Brazilian
21,agriturismi,,"['DE', 'FR', 'IT', 'CH', 'CZ', 'MX', 'TW', 'PL', 'AT', 'CL', 'ES', 'AR']",['hotels'],Agriturismi
22,aircraftdealers,,"['CZ', 'US', 'PT']",['auto'],Aircraft Dealers
23,aircraftrepairs,,,['auto'],Aircraft Repairs
24,airductcleaning,,"['PH', 'IE', 'MY', 'IT', 'GB', 'CA', 'SG', 'US', 'NZ', 'AU', 'ES']",['localservices'],Air Duct Cleaning
25,airlines,,,['transport'],Airlines
26,airport_shuttles,,,['transport'],Airport Shuttles
27,airportlounges,,,['bars'],Airport Lounges
28,airports,,,['hotelstravel'],Airports
29,airportterminals,,,['airports'],Airport Terminals
30,airsoft,,,['active'],Airsoft
31,alentejo,,['PT'],['portuguese'],Alentejo
32,algarve,,['PT'],['portuguese'],Algarve
33,allergist,,,['physicians'],Allergists
34,alsatian,,"['DE', 'FR']",['french'],Alsatian
35,alternativemedicine,"['PH', 'JP', 'TW', 'PL', 'AT', 'PT', 'CL', 'FI', 'DE', 'MY', 'HK', 'CH', 'MX', 'TR', 'ES', 'AR']",,['health'],Alternative Medicine
36,altoatesine,,['IT'],['italian'],Altoatesine
37,amateursportsteams,['CZ'],,['active'],Amateur Sports Teams
38,amusementparks,,,['active'],Amusement Parks
39,andalusian,,"['IT', 'ES']",['restaurants'],Andalusian
40,anesthesiologists,,"['FR', 'SE', 'US', 'IT', 'PT', 'AU', 'BE']",['physicians'],Anesthesiologists
41,animalassistedtherapy,,,['health'],Animal Assisted Therapy
42,animalholistic,,,['petservices'],Holistic Animal Care
43,animalphysicaltherapy,,,['petservices'],Animal Physical Therapy
44,animalshelters,,,['pets'],Animal Shelters
45,antiques,,,['shopping'],Antiques
46,apartmentagents,,,['realestateagents'],Apartment Agents
47,apartments,,,['realestate'],Apartments
48,appliances,,,['homeandgarden'],Appliances
49,appraisalservices,,,['localservices'],Appraisal Services
50,apulian,,"['IT', 'FR']",['italian'],Apulian
51,aquariums,,,['active'],Aquariums
52,aquariumservices,"['MX', 'HK', 'CL', 'JP', 'AR']",,['petservices'],Aquarium Services
53,arabian,['DK'],,['restaurants'],Arabian
54,arabpizza,,['BR'],['arabian'],Arab Pizza
55,arcades,,,['arts'],Arcades
56,archery,,,['active'],Archery
57,architects,,,['professional'],Architects
58,architecturaltours,,,['tours'],Architectural Tours
59,argentine,['FI'],,['restaurants'],Argentine
60,armenian,,"['FR', 'IT', 'GB', 'CZ', 'BE', 'US', 'PL', 'TR', 'ES', 'AR']",['restaurants'],Armenian
61,arroceria_paella,,['ES'],['spanish'],Arroceria / Paella
62,artclasses,"['MX', 'HK', 'CL', 'JP', 'AR']",,['education'],Art Classes
63,artconsultants,,,['professional'],Art Consultants
64,artificialturf,,,['homeservices'],Artificial Turf
65,artinstallation,,"['PH', 'DE', 'MY', 'US', 'PL', 'AT', 'CH']",['localservices'],Art Installation
66,artmuseums,['FR'],,['museums'],Art Museums
67,artrestoration,,,['localservices'],Art Restoration
68,arts,,,[],Arts & Entertainment
69,artsandcrafts,,,['shopping'],Arts & Crafts
70,artschools,,,['specialtyschools'],Art Schools
71,artspacerentals,,"['IE', 'IT', 'GB', 'HK', 'SG', 'JP', 'SE', 'US']",['realestate'],Art Space Rentals
72,artsupplies,,,['artsandcrafts'],Art Supplies
73,arttours,,,['tours'],Art Tours
74,asianfusion,,,['restaurants'],Asian Fusion
75,assistedliving,,,['health'],Assisted Living Facilities
76,astrologers,,,['psychic_astrology'],Astrologers
77,asturian,,['ES'],['restaurants'],Asturian
78,ateliers,,"['NO', 'DE', 'DK', 'IT', 'CH', 'JP', 'BE', 'NL', 'AT', 'TR']",['artsandcrafts'],Ateliers
79,attractionfarms,,"['NO', 'DE', 'DK', 'IT', 'BR', 'CH', 'SE', 'US', 'AT', 'PT', 'ES']",['farms'],Attraction Farms
80,atvrentals,,"['NO', 'DE', 'CH', 'BE', 'MX', 'SE', 'US', 'NL', 'PL', 'AT', 'CL', 'FI', 'ES', 'AR']",['active'],ATV Rentals/Tours
81,auctionhouses,"['PH', 'MY', 'HK', 'JP', 'TW', 'CL', 'TR', 'AR']",,['shopping'],Auction Houses
